ID,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
66,France,"2,431","3,688","4,496","4,357","3,494","4,935","4,569","3,919","3,653","3,862","4,425","4,284","4,693"
67,French Polynesia,14,13,19,37,27,26,30,16,21,30,0,24,14
68,Gabon,40,50,66,85,95,82,171,138,204,197,127,167,146
69,Gambia,263,422,581,897,826,739,978,859,972,"1,159","1,018","1,111","1,142"
70,Georgia,735,964,"1,389","2,003","1,554","1,620","1,578","1,518","1,490","1,341","1,368","1,240","1,410"
71,Germany,"5,064","7,099","9,264","8,436","7,582","7,091","7,583","6,888","6,125","5,812","6,032","5,584","5,436"
72,Ghana,"4,410","5,337","6,491","9,367","7,610","8,195","8,401","7,429","8,798","10,592","10,265","7,115","6,186"
73,Greece,651,769,"1,070","1,124",882,769,798,745,949,"1,054","1,361","1,235","1,211"
74,Grenada,481,609,840,"1,068",751,784,748,664,579,671,687,633,525
75,Guatemala,"14,386","18,920","16,818","24,133","17,908","16,182","12,187","10,467","11,092","10,341","10,224","10,238","11,773"
76,Guinea,29,347,495,"1,110","1,088","1,735","1,725","1,379","1,555","1,656","1,518","1,375","1,389"
77,Guinea-Bissau,176,5,26,25,25,17,20,30,29,47,43,30,39
78,Guyana,"6,809","6,351","9,317","9,552","5,726","6,823","6,670","6,749","6,599","5,683","5,897","6,267","5,543"
79,Haiti,"12,293","14,191","14,524","22,226","30,405","26,007","24,280","22,582","22,111","22,818","20,351","15,274","16,967"
80,Honduras,"4,645","5,508","7,012","8,177","7,646","6,540","6,404","6,448","6,133","6,884","8,898","8,156","9,274"
81,Hong Kong,"3,574","3,951","3,705","3,256","3,527","3,373","2,651","2,432","2,306","2,104","2,226","2,278","2,085"
82,Hungary,"1,021","1,272","1,567","1,704","1,266","1,127","1,314","1,022","1,044","1,054","1,052",996,"1,095"
83,Iceland,97,105,135,145,95,122,131,105,90,103,139,86,104
84,India,"50,228","70,151","84,680","61,369","65,353","63,352","57,304","69,162","69,013","66,434","68,458","77,908","64,116"
85,Indonesia,"1,805","2,419","3,924","4,868","3,716","3,606","3,679","3,032","2,856","2,603","2,731","2,139","2,084"
86,Iran,"7,230","10,434","13,887","13,947","10,460","13,852","18,553","14,182","14,822","12,916","12,863","11,615","13,114"
87,Iraq,"2,450","3,494","4,077","4,337","3,765","4,795","12,110","19,855","21,133","20,369","9,552","19,153","21,107"
88,Ireland,983,"1,531","2,088","1,906","1,503","1,465","1,637","1,507","1,371","1,514","1,626","1,605","1,607"
89,Israel,"2,741","4,160","5,755","5,943","4,496","5,851","5,612","4,515","3,826","4,153","3,996","3,805","3,965"
90,Italy,"1,644","2,346","3,066","3,215","2,569","2,514","2,892","2,579","2,443","2,673","2,960","3,298","3,544"
91,Jamaica,"13,347","14,430","18,345","24,976","19,375","18,477","21,783","19,825","19,662","20,705","19,400","19,026","17,642"
92,Japan,"5,971","7,697","8,768","8,265","6,748","6,821","7,690","6,264","6,161","6,061","5,925","5,545","5,395"
93,Jordan,"2,927","3,431","3,748","4,038","3,917","3,936","4,282","3,868","3,876","4,099","4,188","5,187","4,664"
94,Kazakhstan,"1,740","1,906","2,223","2,073","1,604","1,630","1,562","1,282","1,235","1,202","1,241","1,221","1,201"
95,Kenya,"3,209","5,335","5,347","8,779","7,030","6,998","9,880","7,421","7,762","7,043","6,123","5,884","5,602"
96,Kiribati,4,NULL,4,8,10,4,10,6,NULL,6,3,6,NULL
97,"Korea, North",NULL,NULL,NULL,NULL,NULL,NULL,67,35,36,49,48,142,55
98,"Korea, South 1","12,382","19,766","26,562","24,386","22,405","26,666","25,859","22,227","22,824","20,846","23,166","20,423","17,138"
99,Kosovo,NULL,NULL,NULL,NULL,NULL,0,0,355,670,782,839,758,814
